Trial ID,Title,Condition,Intervention,Study Type,Phase,Summary,Eligibility,Enrollment
NCT03799731,Study for Evaluation of Murlentamab (GM102) Anti-tumoral Activity in Colorectal Cancers,Colorectal Cancer,"GM102, Trifluridine/Tipiracil, GM102 expansion",INTERVENTIONAL,PHASE2,"Phase 2A study, assessing the antitumor activity and the safety profile of GM102, a new compound (monoclonal antibody), administered alone or in combination with chemotherapy in patients with locally advanced or metastatic colorectal cancer. The primary objective of the study is to evaluate the antitumor activity of GM102 single agent and in combination with trifluridine/tipiracil.","Inclusion Criteria:

* Histologically confirmed metastatic or locally advanced colorectal adenocarcinoma.
* Having failed the previous line of treatment for locally advanced or metastatic disease and having received at least two systemic chemotherapy regimens for metastatic colorectal cancer; adjuvant regimen can be considered as one chemotherapy regimen for metastatic disease if the participant had disease recurrence within 6 months of completion.
* At least one of the tumor sites amenable to core needle biopsy (may not be the site of disease for measuring antitumor response). Patient must agree to this pre-treatment biopsy and on the principle of a second biopsy under treatment; however, if eventually the second biopsy cannot be performed, patients will continue on the study and will be considered evaluable for efficacy.
* Available archived CRC tumor tissue sample
* At least one measurable lesion (superior or equal to 1.0 cm longest diameter or superior or equal to 1.5 cm in short axis for malignant lymph nodes) based on RECIST (Response Evaluation Criteria in Solid Tumors) 1.1 on the screening CT-scan.
* Written Informed Consent forms signed.
* Willing and able to comply with the trial requirements.
* Covered by healthcare insurance in accordance with local requirements.
* For cohort I (single agent GM102) only: refractory patients, having exhausted all therapeutic options.
* For cohort II (GM102 in combination with trifluridine/tipiracil) only: patients eligible for trifluridine/tipiracil who have been previously treated with, or are not considered candidates for, available therapies including fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapies, anti-Vascular Endothelial Growth Factor (anti-VEGF) agents, regorafenib and anti-Epithelial Growth Factor Receptor (anti-EGFR) agents. Patients must have received at least 2 prior lines of standard chemotherapy for metastatic CRC.

Exclusion Criteria:

* Age \< 18 years old.
* Eastern Cooperative Oncology Group (ECOG) performance status superior or equal to 2.
* Life expectancy \< 12 weeks.
* Major surgery or radiotherapy within 21 days prior to Cycle 1 Day 1 or anticipation of needing such procedure while receiving study treatment.
* Known or symptomatic brain metastasis (other than totally resected or previously irradiated and non-progressive/relapsing) or lepto-meningeal carcinomatosis.
* Concurrent treatment with any other anticancer therapy (or investigational agent) or received any anticancer therapy (or investigational agent) within 4 weeks prior to first treatment.
* Known severe anaphylactic or other hypersensitivity reactions to Investigational Medicinal Product (IMP) and/or its excipients.
* Unresolved toxicity superior or equal to Grade 2 according to Common Terminology Criteria for Adverse Events (CTCAE) version 4.03 attributed to any prior therapies (excluding anemia, alopecia, skin pigmentation, and platinum induced neurotoxicity).
* Serious concomitant illness, e.g. active infection requiring systemic antibiotic, antifungal or antiviral drug, or physical examination or laboratory abnormalities, that, in the opinion of the Investigator, would compromise protocol objectives.
* Poor bone marrow reserve as defined by white blood cell \< 3.0 x 10E9/L, neutrophils \< 1.5 x 10E9/L or haemoglobin \< 9.0 g/dL or platelet count \< 100 x 10E9/L.
* Poor organ function as defined by any one of the following: serum creatinine \> 1.5 x upper limit of normal (ULN), total bilirubin \> 1.5 x ULN or \> 2.5 x ULN if due to Gilbert's syndrome, AST and ALT \> 2.5 x ULN in the absence of liver metastasis or \> 5 x ULN in case of documented liver metastasis.
* Severe New York Heart Association (NYHA) III and IV heart failure.
* Pregnancy or breastfeeding.
* Patient with reproductive potential who does not agree to use an accepted highly effective method of contraception - per investigator's judgment - during the study period and for at least 6 months following completion of study treatment.
* Patient deprived of liberty by a judicial or administrative decision, patient admitted to a social institution or who is under a measure of legal protection, patient hospitalized without consent or who is in an emergency situation.
* Known allergy to rodents.
* Patients positive to Covid-19",65
NCT04406831,"The Role of MicroRNA in the Diagnosis, Prognosis and Response to Treatment in Pancreatic Cancer","Pancreatic Cancer Stage III, Pancreatic Cancer Stage IV, Pancreatic Ductal Adenocarcinoma, Pancreatic Neoplasms",Blood draw,OBSERVATIONAL,N/A,"Aberrant miRNA production has been linked to a wide range of human cancers and shown to play important roles in their genesis and growth. These miRNA can be detected in the blood and tumors of patients with cancer. The investigators hypothesize that the detection of certain miRNAs present in the blood/serum of patients with pancreatic cancer may be important to the early diagnosis of the disease. Furthermore, the investigators hypothesize that miRNA detection in PC patients will yield prognostic information and help predict the response to treatment.","Inclusion Criteria:

* Have biopsy proven adenocarcinoma of the pancreas
* Have initially inoperable disease, classified as either locally advanced or metastatic disease

  * Recurrent disease after a Whipple procedure is allowed
  * Patients who are able to undergo resection after neoadjuvant therapy will continue to be followed after resection
* Have radiographically measurable disease
* Have an ECOG performance status of 2 or less
* Be willing to contribute the required information and specimens
* Provide written signed consent to participate

Exclusion Criteria:

* Having received prior anti-cancer treatments for metastatic pancreatic cancer
* Concurrently receiving systemic therapy for another cancer except androgen deprivation therapy for stable/controlled prostate cancer
* Presence of other active cancer except for: adequately treated local basal or squamous cell carcinoma of the skin, cervical carcinoma in situ, superficial bladder cancer, asymptomatic prostate cancer without known metastatic disease and with no requirement for therapy or requiring only hormonal therapy and with normal prostate-specific antigen for \>1 year prior to start of trial. Other adequately treated Stage 1 or 2 cancer currently in complete remission, or any other cancer that has been in complete remission for \> 5 years is allowable",200
NCT06551831,End-of-life Decision-making Among Young Patients With Advanced Cancer: a Grounded Theory Approach,End-of-life Decision-making,N/A,OBSERVATIONAL,N/A,The purpose of this qualitative research is to use grounded theory to explore and describe the thoughts of young advanced cancer patients regarding end-of-life care and how these thoughts influence the related decision-making process.,"Inclusion Criteria:

* The patient has a solid tumor.
* The age at initial cancer diagnosis is between 15 and 39 years.
* The patient is at least 18 years old at the time of enrollment.
* The patient has cancer with metastasis, either present at initial diagnosis or occurring after treatment or follow-up.
* After metastasis, the first-line curative treatment is ineffective.

Exclusion Criteria:

- Patients who, for any reason, including severe psychological distress (as determined by the attending physician, psychiatrist, or specialist nurse based on assessments and impressions during routine patient care), cognitive impairment, or physical limitations (such as frailty), are unable to communicate or participate in an interview lasting more than 30 minutes.",30
NCT01255631,Pulsed Electromagnetic Fields (PEMF) and Post-Axillary Surgery Morbidity,Shoulder Symptoms After Lymph Node Dissection,"PEMF Device, Sham PEMF Device",INTERVENTIONAL,PHASE4,"The most important prognostic indicator for the breast cancer patient is the axillary lymph node status. With the introduction of the sentinel lymph node biopsy, many women were spared the morbidity of a full axillary lymph node dissection(ALND) while having the axillary nodes assessed with a low false negative rate. Approximately 30% of women who undergo ALND experience shoulder/arm morbidity including numbness, pain, weakness and decreased range of motion. In addition, the sentinel lymph node dissection (SLND) held the promise that women with early stage breast cancer would be able to avoid the dreaded morbidity associated with axillary lymph node dissections including lymphedema, decreased range of motion and pain. Since the adoption of SLN, numerous papers have documented that SLN is superior to ALND. However, patients who undergo SLN still have a significant amount of pain with this procedure. There are few published studies which objectively assess the subjective and objective symptoms of SLND.

Pulsed electromagnetic fields (PEMF) have been shown to be effective in the treatment of fractures and spinal fusion, relief of pain in acute sprains and whiplash injuries, improvement of skin blood flow, healing of venous stasis ulcers, and reduction of postmastectomy lymphedema. Indeed, radiofrequency PEMF devices are FDA approved for pain and edema relief. PEMF devices are economical and disposable, and can be incorporated unobtrusively in standard post-op dressings. We have recently reported, in a double-blind, placebo-controlled study on breast reduction, that post-op PEMF therapy produced a significant decrease in pain and pain medication use, along with a concomitant decrease in IL1-beta in the wound bed.1 The current pilot study will be designed to determine if PEMF treatment, given in addition to standard of care, can reduce post-operative discomfort and morbidity after lumpectomy and SLND, or lumpectomy and ALND. Lumpectomy and ALND/SLND patients enrolled in the double-blind, placebo-controlled study will undergo standard surgery, but will be randomized to one of two groups: the treatment group with a PEMF coil placed around the arm and the control group with a coil that delivers no PMF. We expect postoperative pain to be reduced in the PEMF-treated patients as well as improved arm mobility and strength. The use of PEMF might reduce the need for narcotic pain medications and their side effects of sedation, nausea, and vomiting. It may also reduce costs related to arm morbidity.","Inclusion Criteria:

* Inclusion criteria include patients undergoing axillary lymph node dissection or sentinel lymph node dissection for breast cancer. Patients undergoing lumpectomy with the axillary surgery will be included.

Exclusion Criteria:

* Patients undergoing mastectomy with the axillary surgery will be excluded.
* Patients with prior axillary radiation or prior arm impairment will be excluded.
* Patients with pacemakers will be excluded.",22
NCT04241731,A Study of Cetuximab Plus Raltitrexed for Maintenance Treatment in Advanced Colorectal Cancer,Colorectal Cancer,"Raltitrexed, Cetuximab",INTERVENTIONAL,PHASE2,"Maintenance treatment can extend patient survival and improve patient quality of life. Bevacizumab alone or capecitabine combined with bevacizumab as a maintenance treatment have been widely used in clinical practice. In contrast, there are little datas of cetuximab as a maintenance treatment. The purpose of this study is to evaluate efficacy and safety of Raltitrexed plus Cetuximab as the maintenance treatment, and to provide a new choice for RAS wild-type colorectal cancer patients after advanced first-line chemotherapy.","Inclusion Criteria:

* 18-75 years old, no gender restriction;
* RAS wild-type
* Unresectable metastatic colorectal cancer confirmed by histopathology and / or cytology;
* Disease stable or improved while on first-line use of FOLFOX/FOLFIRI with cetuximab for 4-6 months;
* At least one measurable objective tumor lesion by spiral CT scan，the longest diameter measured ≧ 10 mm，or by conventional CT scan，the diameter measured ≧ 20 mm.
* Eastern Cooperative Oncology Group (ECOG) general status score is 0-2;
* Life expectancy of at least 3 months;
* Blood routine, liver and kidney function within the 7 days before screening meet the following criteria: Absolute neutrophil count ≥ 1.5x10\^9 / L; hemoglobin ≥ 9.0 g / dl; platelet count ≥ 80 x10\^9 / L; total bilirubin ≤ 1.5 times the upper limit of normal (ULN); alanine aminotransferase and aspartate aminotransferase ≤ 2.5 x ULN (≤5 x ULN in patients with liver metastases); ≤3 x ULN in patients with liver metastases (≤5 x ULN in patients with liver metastases); serum creatinine ≤1.5 x ULN;
* Agree to sign informed consent.

Exclusion Criteria:

* BRAF mutant
* Symptomatic brain or meningeal metastases (unless patients receive treatment\> 6 months, imaging results are negative within 4 weeks before joining the study, and tumor-related clinical symptoms are stable before joining the study);
* Previous malignant disease within five years, with the exception of the cured primary cervical cancer or basal cell carcinoma of the skin;
* Chronic intestinal disease, infectious intestinal disease, intestinal obstruction, active clinical severe infection and other diseases;
* With ascites
* Substance abuse and medical, psychological or social conditions that may interfere with the participation of patients in the study or influence the evaluation of the results of the study;
* Unsuitable for the study or other chemotherapy determined by investigator.",50
NCT00909831,Hydroxychloroquine and Temsirolimus in Treating Patients With Metastatic Solid Tumors That Have Not Responded to Treatment,"Unspecified Adult Solid Tumor, Protocol Specific","hydroxychloroquine, temsirolimus, electron microscopy, high performance liquid chromatography, immunologic technique, laboratory biomarker analysis, mass spectrometry, pharmacological study, autophagy inhibition therapy",INTERVENTIONAL,PHASE1,"RATIONALE: Drugs used in chemotherapy, such as hydroxychloroquine, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Temsirolimus may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving hydroxychloroquine together with temsirolimus may kill more tumor cells.

PURPOSE: This phase I trial is studying the side effects and best dose of hydroxychloroquine when given together with temsirolimus in treating patients with metastatic solid tumors that have not responded to treatment.","DISEASE CHARACTERISTICS:

* Histologically confirmed refractory solid tumor for which no curative standard therapy exists

  * Metastatic disease
* Treated brain metastases that have been stable ≥ 3 months allowed

  * At least 1 week since prior steroids

PATIENT CHARACTERISTICS:

* ECOG performance status of 0-1
* ANC ≥ 1,500/mm\^3
* Platelet count ≥ 100,000/mm\^3
* Creatinine ≤ 2 times upper limit of normal (ULN)
* ALT and AST ≤ 5 times ULN
* Total bilirubin ≤ 1.5 mg/dL
* Not pregnant or nursing
* Negative pregnancy test
* Fertile patients must use effective contraception
* No serious concurrent infection or medical illness that would jeopardize the ability of the patient to receive the treatment outlined in this protocol with reasonable safety
* No prior or other concurrent malignancy except for curatively treated carcinoma-in-situ at any site or basal cell carcinoma or squamous cell carcinoma of the skin

  * Patients who have been free of disease (any prior malignancy) for ≥ 5 years are eligible
* No porphyria
* No psoriasis, except well controlled psoriasis under the care of a specialist
* No previously documented macular degeneration or diabetic retinopathy
* No HIV positivity

PRIOR CONCURRENT THERAPY:

* See Disease Characteristics
* Any number and type of prior anticancer therapies allowed
* No prior mTOR inhibitors
* At least 4 weeks since prior immunotherapy (i.e., aldesleukin, interferon, CTLA-4) or chemotherapy and recovered
* At least 2 weeks since prior oral targeted therapy and recovered
* At least 4 weeks since prior and no other concurrent investigational anticancer therapy (except for vaccines)
* No other concurrent therapy
* No concurrent combination antiretroviral therapy for HIV-positive patients
* No concurrent cytochrome P450 enzyme-inducing anticonvulsant drugs (i.e., phenytoin, carbamazepine, phenobarbital, primidone, or oxcarbazepine)
* Concurrent non-enzyme inducing anticonvulsants, including felbamate, valproic acid, gabapentin, lamotrigine, tiagabine, topiramate, zonisamide, or levetiracetam allowed
* Concurrent hematologic growth factors (filgrastim \[G-CSF\], pegfilgrastim, epoetin alfa) allowed in patients with severe myelosuppression",40
NCT04192331,Nab-paclitaxel Dose Schedual for HER-2 Negative Advanced Breast Cancer,Breast Cancer,"nab-paclitaxel regimen1, nab-paclitaxel regimen2",INTERVENTIONAL,PHASE2,"What is the best dosage of Nab-Paclitaxel for chinese? This study would divide patients into two dosage groups: 1) 125mg/m2, 30 minutes intravenous injection, d1, 8, 21 days for a cycle(clinical use); 2) 125mg/m2 d1, 8, 15, 30 minutes intravenous injection, 28 days for a cycle(guideline recommand). Treatment to disease progression. The efficacy (CR, PR, SD, PD) is evaluated every 2-4 cycles.If the patient withdraws from the trial because he cannot tolerate the toxicity caused by one of the drugs, such as neurotoxicity or bone marrow toxicity, it is recommended to switch to other drugs and follow up to PFS and OS.Each group was planned to include 30 patients.","Inclusion criteria

* Female, aged≥ 18 years old;
* Histopathologically confirmed HER-2 negative (definition: immunohistochemical IHC 0, or 1+, or in situ hybridization ISH, defined as the ratio of HER2 gene copy number to CEP17 signal number less than 2.0, or for single probe detection, HER2 gene copy number less than 6) in patients with recurrent or metastatic breast cancer;
* Up to two previous lines of chemotherapy were permitted for recurrent and metastatic diseases. And for endocrine therapy, the number of treatment lines can be omitted;
* With measurable lesions;
* The physical condition score of the Eastern American Cancer Collaboration Group (ECOG) was less than 1;
* Expected survival period\>3 months;

Exclusion Criteria

* New York Heart Association NYHA scores identify patients with congestive heart failure at grade II or above;Uncontrolled brain metastasis;
* Patients with severe systemic infection;Patients with peripheral nerve injury of degree II or above, or known drug allergy or intolerance within 4 weeks before admission;
* Important organ disorders or diseases: liver and kidney dysfunction, history of myocardial infarction, unstable heart disease, chronic active hepatitis,etc;There is a history of other malignant tumors within 5 years (except cured cervical cancer or skin basal cell carcinoma);
* Patients who had received other antineoplastic treatments or other experimental drugs within one month before treatment;
* Patients who also participated in other clinical trials;
* Researchers believe that patients are not suitable for any medical condition to enter the study.",97
NCT00068731,Lycopene in Treating Patients With Metastatic Prostate Cancer,Prostate Cancer,lycopene,INTERVENTIONAL,PHASE2,"RATIONALE: Lycopene, a substance found in tomatoes, may lower prostate-specific antigen (PSA) levels and slow or prevent the development of prostate cancer.

PURPOSE: Phase II trial to study the effectiveness of lycopene in treating patients who have asymptomatic metastatic prostate cancer and a rising PSA level.","DISEASE CHARACTERISTICS:

* Diagnosis of androgen-independent prostate cancer
* Asymptomatic metastatic disease

  * Unlikely to become symptomatic within the next 4 months
  * No bone pain, shortness of breath, fatigue, or urinary symptoms directly attributable to prostate cancer
* Radiologic, physically palpable, and/or biochemical evidence of tumor progression after prior orchiectomy OR during treatment with a luteinizing hormone-releasing hormone (LHRH) agonist OR after initiation of another hormonal agent
* Sustained prostate-specific antigen (PSA) elevation, defined by the following:

  * PSA greater than 5 ng/mL
  * At least 2 consecutive increases in PSA at least 1 week apart
  * Sustained increase in PSA at least 4 weeks after discontinuation of prior flutamide (or other antiandrogen therapy) or megestrol AND at least 6 weeks after discontinuation of prior bicalutamide
* No known CNS metastases or carcinomatous meningitis

PATIENT CHARACTERISTICS:

Age

* 18 and over

Performance status

* ECOG 0-2

Life expectancy

* At least 12 weeks

Hematopoietic

* Not specified

Hepatic

* Bilirubin no greater than 1.5 mg/dL\* NOTE: \*Includes patients with liver involvement secondary to tumor

Renal

* See Disease Characteristics
* Creatinine no greater than 2 times upper limit of normal

Pulmonary

* See Disease Characteristics

Other

* No other malignancy within the past 5 years except basal cell skin cancer
* No medical or psychiatric condition that would preclude study participation

PRIOR CONCURRENT THERAPY:

Biologic therapy

* More than 4 weeks since prior immunotherapy

Chemotherapy

* More than 4 weeks since prior chemotherapy
* No concurrent chemotherapy

Endocrine therapy

* See Disease Characteristics
* More than 4 weeks since prior hormonal therapy (other than an LHRH agonist)
* No concurrent corticosteroids
* No concurrent progestational agents
* No concurrent new hormonal therapy

Radiotherapy

* No concurrent radiotherapy, including radiotherapy for new bone disease

Surgery

* See Disease Characteristics

Other

* More than 4 weeks since other prior anticancer therapy
* No other concurrent investigational anticancer agents
* No other concurrent alternative medicine therapies (e.g., saw palmetto or PC-SPES)",47
NCT06475131,A Study of BL-B16D1 in Patients With Locally Advanced or Metastatic Solid Tumors,Solid Tumor,BL-B16D1,INTERVENTIONAL,PHASE1,"This study is an open, multicenter, dose-escalation and expansion-enrollment and nonrandomized phase I clinical study to evaluate the safety, tolerability, pharmacokinetic characteristics and preliminary efficacy of BL-B16D1 in locally advanced or metastatic solid tumors.","Inclusion Criteria:

1. Sign the informed consent form voluntarily and follow the protocol requirements;
2. Gender is not limited;
3. Age: ≥18 years old and ≤75 years old (phase Ia); ≥18 years old (phase Ib);
4. Expected survival time ≥3 months;
5. locally advanced or metastatic solid tumors confirmed by histopathology and/or cytology that failed standard treatment or could not obtain standard treatment;
6. Consent to provide archival tumor tissue samples or fresh tissue samples from primary or metastatic lesions within 3 years;
7. At least one measurable lesion meeting the RECIST v1.1 definition was required;
8. ECOG 0 or 1;
9. The toxicity of previous antineoplastic therapy has returned to ≤ grade 1 as defined by NCI-CTCAE v5.0;
10. No severe cardiac dysfunction, left ventricular ejection fraction ≥50%;
11. The organ function level must meet the requirements if the patient has not received blood transfusion or hematopoietic stimulating factor therapy within 14 days before screening;
12. Coagulation function: international normalized ratio ≤1.5, and activated partial thromboplastin time ≤1.5ULN;
13. Urinary protein ≤2+ or ≤1000mg/24h;
14. For premenopausal women with childbearing potential, a pregnancy test must be performed within 7 days before starting treatment, serum pregnancy must be negative, and the patient must not be lactating; All enrolled patients (male or female) should use adequate contraception throughout the treatment cycle and for 6 months after completion of treatment.

Exclusion Criteria:

1. Chemotherapy, biological therapy and other anti-tumor therapies have been used within 4 weeks or 5 half-lives before the first dose; Mitomycin and nitrosoureas were administered within 6 weeks before the first dose; Oral drugs such as fluorouracil;
2. History of severe heart disease;
3. Long QT, complete left bundle branch block, III degree atrioventricular block;
4. Active autoimmune and inflammatory diseases;
5. Other malignancies diagnosed within 5 years before the first dose;
6. Hypertension poorly controlled by two antihypertensive drugs;
7. Patients with poor glycemic control;
8. Present with grade ≥2 radiation pneumonitis according to the RTOG/EORTC definition; Previous history of ILD or current ILD, or suspicion of such disease during screening;
9. Complicated with pulmonary diseases leading to clinically severe respiratory function impairment;
10. Active central nervous system metastasis;
11. Patients with a history of allergy to recombinant humanized or human-mouse chimeric antibodies or to any of the excipients of BL-B16D1;
12. Received previous organ transplantation or allogeneic hematopoietic stem cell transplantation (Allo-HSCT);
13. The cumulative dose of anthracyclines \> 360 mg/m2 in previous (new) adjuvant therapy;
14. Human immunodeficiency virus antibody positive, active tuberculosis, active hepatitis B virus infection or active hepatitis C virus infection;
15. Severe infection occurred within 4 weeks before the first dose; Signs of pulmonary infection or active pulmonary inflammation within 2 weeks before the first dose;
16. Patients with massive or symptomatic effusions or poorly controlled effusions;
17. Had participated in another clinical trial within 4 weeks before the first dose;
18. Had the following ocular diseases: a. active infection or corneal ulcer; b. monocular vision; c. a history of corneal transplantation; d. Contact lens dependence; e. Uncontrolled glaucoma; f. Uncontrolled or progressive retinopathy, wet macular degeneration, etc.;
19. Other circumstances that the investigator deemed inappropriate for participation in the trial.",21
NCT05223231,Evaluation of LBL-019 Monotherapy or Combined With Anti-PD-1 Antibody in the Treatment of Advanced Malignant Tumors,Advanced Malignant Tumors,"LBL-019 Injection, anti-PD-1 antibody injection",INTERVENTIONAL,"PHASE1, PHASE2","This trial is a phase I/II study, which is designed to evaluate the safety, tolerance, pharmacokinetic characteristics, receptor occupancy (RO), immunogenicity and effectiveness of LBL-019 monotherapy or combined with anti-PD-1 antibody in patients with advanced malignant tumors.","Inclusion Criteria:

1.Agree to comply with the trial treatment plan and visit plan, voluntarily agree to sign the informed consent form;

2.18-75 years old (including boundary value), no gender limit;

3. previous standard treatment failed, no standard treatment or standard treatment is not applicable at this stage;

4.The expected survival time is at least 12 weeks;

Exclusion Criteria:

1. Have received chemotherapy, radiotherapy, biological therapy, endocrine therapy, immunotherapy and other anti-tumor treatments within 4 weeks before using the study drug for the first time；
2. Received any other investigational drug or treatment that is not on the market within 4 weeks prior to the initial use of the investigational drug;
3. Women who are pregnant or breastfeeding;
4. The investigator believes that the subject has other conditions that may affect compliance or are not suitable for participating in the study",486
NCT04692831,Testing a New Imaging Agent to Identify Cancer,"HER-2 Positive Malignant Carcinoma of Breast, HER-2 Protein Overexpression, HER2-positive Metastatic Breast Cancer",89Zr-ss-pertuzumab PET/CT,INTERVENTIONAL,PHASE1,The purpose of this study is to see whether 89Zr-ss-pertuzumab is safe in people with HER2+ cancer.,"Inclusion Criteria:

* Biopsy proven HER2-positive or HER2-low primary malignancy or metastatic disease

Note: HER2 positivity is defined according to American Society of Clinical Oncology guidelines or ERBB2 amplification on next generation sequencing Note: HER2-low is defined as low HER2 expression, with immunohistochemistry (IHC) 1+ or IHC 2+ and in situ hybridization \[ISH\]-negative, including FISH.

* Biopsy proven primary malignancy or metastatic disease
* At least one malignant lesion on CT, MR, or FDG PET/CT within 60 days of protocol enrollment
* Age 18 years or greater
* ECOG performance of 0-2

Exclusion Criteria:

* Creatinine \> 2 times normal limit (obtained with 8 weeks of enrollment)
* AST/ALT \> 2 times normal limit (obtained with 8 weeks of enrollment)
* Life expectancy \< 3 months
* Pregnancy or lactation
* Patients who cannot undergo PET/CT due to weight limits (over 450 pounds)",60
NCT01713582,A Dose-finding Study of the Bromodomain (Brd) Inhibitor OTX015/ Birabresib (MK-8628) in Hematologic Malignancies (MK-8628-001),"Acute Myeloid Leukemia, Diffuse Large B-cell Lymphoma, Acute Lymphoblastic Leukemia, Multiple Myeloma",OTX015/Birabresib,INTERVENTIONAL,PHASE1,"The primary purpose of this study was to determine the recommended dose (RD) of birabresib (MK-8628) /OTX015 for further phase II studies, in participants with acute leukemia (AL) including acute myeloid leukemia (AML; de novo and secondary to a myelodysplastic syndrome) and acute lymphoblastic leukemia (ALL) or other hematologic malignancies (OHM) including diffuse large B cell lymphoma (DLBCL) and multiple myeloma (MM). The first phase of the study will be a dose escalation phase to determine the Phase II RD using dose-limiting toxicities (DLTs). Once the RD is determined, participants will be enrolled in an expansion phase at the RD to determine preliminary efficacy in AL and OHM cohorts. Participants received therapy in 21-day cycles until disease progression, intolerable toxicity, or treatment interruption for \>2 weeks due to toxicity.","Inclusion Criteria:

* Histologically or cytologically proven acute leukemias (AML or ALL) or hematologic malignancies (DLBCL or MM) using standard diagnosis criteria. Acute leukemia includes de novo and secondary to a pre-existing myelodysplastic syndrome, according to the World Health Organization 2008 classification. For DLBCL, an archived formaldehyde-fixed paraffin-embedded block must be available.
* Has failed all standard therapies or for whom standard treatments are contra-indicated:

  * Acute leukemia participants: \<60 years old in second relapse or relapsing after allogeneic stem cell transplantation (aSCT) regardless of number of relapses; \>60 years old in first relapse with a disease-free interval (DFI) \<12 months or further relapse; irrespective of age, in participants relapsing after aSCT, the time elapsed since aSCT should be \>90 days; participants with B-cell ALL: Philadelphia chromosome positive (Ph+) must have received ≥2 lines of therapy, including 2 bcr-abl tyrosine-kinase (TK) inhibitors (among imatinib, nilotinib and dasatinib), or only 1 line including 1 TK inhibitor, if the relapse/refractoriness is associated with the detection of a resistance mutation to these inhibitors
  * DLBCL participants: Failed 2 standard lines of therapy (≥1 containing an anti-CD20 monoclonal antibody), or for whom such treatment is contra-indicated
  * MM participants: Adequately exposed to at least one alkylating agent, one corticosteroid, one immunomodulatory drug (IMiD) and bortezomib, or for whom such treatments are contra-indicated.
* For participants with evaluable disease:

  * Advanced leukemia participants must have \>5% bone marrow blasts at study entry, without alternative causality (e.g. bone marrow regeneration)
  * DLBCL participants must have ≥1 non-irradiated tumor mass ≥15 mm (long axis of lymph node) or ≥10 mm (short axis of lymph node or extranodal lesions) on spiral computed tomography (CT)-scan.
  * MM participants must have ≥1 of the following: serum monoclonal component \>1 g/dL (IgG), or \>0.5 g/dL (IgA), or Bence-Jones (BJ) proteinuria \>200 mg/24h, or measurable plasmacytoma (not previously irradiated).
* Life expectancy ≥3 months.
* Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 2.
* Off previous therapy ≥3 weeks prior to first study drug administration with full recovery from any previous toxicities, except 1) hydroxyurea single agent of in combination (e.g. + 6-Mercaptopurine \[6MP\]) to control hyperleukocytosis, which should be stopped for ≥48 hours, and 2) rituximab, which should be stopped for ≥3 weeks.
* Recovery from the non-hematologic toxic effects of prior treatment to grade ≤1, according to National Cancer Institute Common Toxicity Criteria (NCI-CTC) classification, except alopecia.
* Adequate bone marrow function.
* Adequate calculated creatinine clearance.
* Adequate liver function tests.
* Complete baseline disease assessment workup prior to first study drug administration.

Exclusion Criteria:

* History of prior malignancy other than those previously treated with a curative intent \>3 years ago and without relapse (any tumor) or basal cell skin cancer, in situ cervical cancer, superficial bladder cancer, or high grade intestinal polyps treated adequately, regardless of the DFI.
* Pregnant or lactating women or women of childbearing potential not using adequate contraception. Male participants not using adequate contraception.
* Peripheral cytopenias (i.e. auto-immune hemolytic anemia or thrombocytopenia).
* Acute promyelocytic leukemia or with clinically uncontrolled (i.e. with bleeding) disseminated intravascular coagulation (DIC).
* Chronic graft versus host disease (GVHD) or on immunosuppressive therapy for the control of GVHD.
* Uncontrolled leptomeningeal disease.
* Other tumor location necessitating an urgent therapeutic intervention (palliative care, surgery or radiation therapy), such as spinal cord compression, other compressive mass, uncontrolled painful lesion, bone fracture, etc.
* Unable to swallow oral medications, or has gastrointestinal condition (e.g. malabsorption, resection) deemed to jeopardize intestinal absorption.
* Other serious illness or medical conditions, which, in the investigator's opinion could hamper understanding of the study by the participants, participant's compliance to study treatment, participant's safety or interpretation of study results. These conditions include (but are not restricted to):

  1. Congestive heart failure or angina pectoris except if medically controlled. Previous history of myocardial infarction within 1 year of study entry, uncontrolled hypertension or arrhythmias.
  2. Existence of significant neurologic or psychiatric disorders impairing the ability to obtain consent.
  3. Uncontrolled infection.
  4. Known human immunodeficiency virus (HIV) positivity
* Concurrent treatment with other experimental therapies or participation in another clinical trial within 30 days prior to first study drug administration.
* Concurrent treatment or treatment within 30 days prior to first study drug administration with any other anticancer therapy, except hydroxyurea (+/- 6MP) to control hyperleukocytosis.
* Concomitant treatment with corticosteroids except if chronic treatment with ≤30 mg of methylprednisolone daily or equivalent dose of other corticosteroids.",141
