Trial ID,Title,Condition,Intervention,Study Type,Phase,Summary,Eligibility,Enrollment,Cleaned_Summary
NCT03892031,Circulatory Function in Laparoscopic Radical Cystectomy for Bladder Cancer,"Circulatory Function, Laparoscopic Radical Cystectomy for Bladder Cancer",,OBSERVATIONAL,,"To optimize the perioperative management of patients undergoing laparoscopic radical cystectomy(LPC) for bladder cancer through observation of perioperative changes of Brain Natriuretic Peptide(BNP), stroke volume variation(SVV), central venous pressure(CVP) and the use of transthoracic echocardiography(TTE).","Inclusion Criteria:

* undergoing laparoscopic radical cystectomy for bladder cancer
* ASA I-II

Exclusion Criteria:

* Cardiac insufficiency
* Hepatic insufficiency
* Renal insufficiency",186.0,optimize perioperative management patients undergoing laparoscopic radical cystectomylpc bladder cancer observation perioperative changes brain natriuretic peptidebnp stroke volume variationsvv central venous pressurecvp use transthoracic echocardiographytte
NCT05305131,"Phase II Randomised Trial of Induction Gemcitabine and Cisplatin Versus Gemcitabine, Cisplatin, Pembrolizumab and Bevacizumab (GPPB) in Nasopharyngeal Cancer",Nasopharyngeal Cancer,"cisplatin and gemcitabine, induction chemotherapy cisplatin, gemcitabine, bevacizumab and pembrolizumab.",INTERVENTIONAL,PHASE2,"The investigators hypothesize that the addition of bevacizumab and pembrolizumab to induction cisplatin and gemcitabine is tolerable and improves metabolic complete response (mCR), relapse free survival (RFS) and overall survival (OS) compared to induction cisplatin and gemcitabine in patients with locally advanced nasopharyngeal cancer (NPC)","Inclusion Criteria:

1. The participant (or legally acceptable representative if applicable) provides written consent for the trial.
2. Participants who are at least 21 years of age on the day of signing informed consent with histologically or cytologically confirmed diagnosis of non-keratinizing nasopharyngeal carcinoma (NPC).
3. Have measurable disease based on RECIST 1.1.
4. Tumour stage III (except for T3N0 and T3N1) or IVA according to the American Joint Committee on Cancer (AJCC) 8th edition criteria.
5. Have locally or centrally determined EBV-positive NPC by EBV-encoded small RNA in situ hybridization (EBER in situ hybridization \[ISH\]) assay. If EBV-positive status has been previously determined by EBER ISH assay, then no re-testing is required.

   Note: If EBV status by EBER ISH assay has not been previously determined, tumor tissue from archival tissue may be submitted for EBV determination.
6. Did not receive any prior treatment
7. Willingness to donate blood for mandatory translational research studies.
8. Have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1.
9. Have an adequate organ function
10. A female participant is eligible to participate if she is not pregnant, not breastfeeding, and at least one of the following conditions applies:

    1. Not a woman of childbearing potential (WOCBP) as defined in Appendix 3 of study protocol OR
    2. A WOCBP who agrees to follow the contraceptive guidance in Appendix 3 of study protocol during the treatment period and for at least 120 days after the last dose of study medication.
11. A male participant must agree to use a contraception as detailed in Appendix 3 of study protocol during the treatment period and for at least 120 days after the last dose of study treatment and refrain from donating sperm during this period.

Exclusion Criteria:

1. Stage III NPC with T3N0 or T3N1 staged by AJCC 8th edition
2. Has received prior systemic anti-cancer therapy including chemotherapy, radiotherapy, immunotherapy or investigational agents
3. Is currently participating in or has participated in a study of an investigational agent or has used an investigational device within 4 weeks prior to first dose of study treatment.
4. Has a condition requiring systemic steroid therapy (\> 10 mg daily prednisone equivalents) or any other form of immunosuppressive therapy within 14 days prior to the first dose of trial treatment. Inhaled or topical steroids and adrenal replacement doses \<10 mg daily prednisone equivalents are permitted in the absence of active autoimmune disease. Patients are permitted to use topical, ocular, intra-articular, intranasal, and inhalational corticosteroids (with minimal systemic absorption). Physiologic replacement doses of systemic corticosteroids are permitted, even if \< or = 10 mg/day prednisone equivalents. A brief course of corticosteroids for prophylaxis (e.g., contrast dye allergy) or for treatment of non-autoimmune conditions (e.g., delayed-type hypersensitivity reaction caused by contact allergen) is permitted.
5. Has active autoimmune disease that has required systemic treatment in the past 2 years (i.e. with use of disease modifying agents, corticosteroids or immunosuppressive drugs). Replacement therapy (e.g. thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc) is not considered a form of systemic treatment.
6. Has a history of (non-infectious) pneumonitis that required steroids or has current pneumonitis.
7. Has hypersensitivity to bevacizumab or any of its components.
8. Has a known additional malignancy that is progressing or has required active treatment within the past 3 years.

   Note: Participants with basal cell carcinoma of the skin, squamous cell carcinoma of the skin, transitional cell carcinoma of urothelial cancer, or carcinoma in situ (e.g. breast or cervical carcinoma in situ) that have undergone potentially curative therapy are not excluded.
9. Has an active infection requiring systemic therapy, or serious non-healing wound, ulcer or bone fracture.
10. Uncontrolled hypertension (failure of diastolic blood pressure to fall below 90 mmHg, despite the use of = 3 anti-hypertensive drugs or systolic blood pressure greater than 150 mmHg).
11. History of cardiac disease: congestive heart failure \> New York Heart Association (NYHA) Class II; active coronary artery disease (unstable angina \[anginal symptoms at rest\] or new-onset angina \[began within the last 3 months\] or myocardial infarction within the past 6 months). Cardiac arrhythmias requiring anti-arrhythmic therapy (ß-blockers or digoxin are permitted).
12. Persistent proteinuria of NCI-CTCAE Grade 3 or higher (\> 3.5 g/24 hours, measured by urine protein/creatinine ratio on a random urine sample).
13. Clinically significant bleeding (NCI-CTCAE Grade 3 or higher) within 30 days prior to start of study medication.
14. Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating investigator.
15. Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial.
16. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the screening visit through 120 days after the last dose of trial treatment.
17. A WOCBP who has a positive urine pregnancy test within 72 hours prior to randomization/allocation (see Appendix 3). If the urine test is positive or cannot be confirmed as negative, a serum pregnancy test will be required.

    Note: In the event that 72 hours have elapsed between the screening pregnancy test and the first dose of study treatment, another pregnancy test (urine or serum) must be performed and must be negative in order for subject to start receiving study medication.
18. Has a known history of Human Immunodeficiency Virus (HIV). Note: No HIV testing is required unless mandated by local health authority.
19. Has a known history of Hepatitis B (defined as Hepatitis B surface antigen \[HBsAg\] reactive or known active Hepatitis C virus (defined as HCV RNA \[qualitative\] is detected) infection.

    Note: No testing for Hepatitis B and Hepatitis C is required unless mandated by local health authority.
20. Has received a live vaccine within 30 days of prior to the first dose of study drug. Examples of live vaccines include, but are not limited to, the following: measles, mumps, rubella, varicella/zoster (chicken pox), yellow fever, rabies, Bacillus Calmette-Guerin (BCG), and typhoid vaccine.

Note: Seasonal influenza vaccines for injection are generally killed virus vaccines and are allowed; however intranasal influenza vaccines (e.g., Flu-Mist®) are live attenuated vaccines, and are not allowed.",50.0,investigators hypothesize addition bevacizumab pembrolizumab induction cisplatin gemcitabine tolerable improves metabolic complete response mcr relapse free survival rfs overall survival os compared induction cisplatin gemcitabine patients locally advanced nasopharyngeal cancer npc
NCT02012231,"Phase I/IIa Study to Evaluate the Safety, PK, PD, and Preliminary Efficacy of PLX8394 in Patients With Advanced Cancers.","Melanoma, Thyroid Cancer, Colorectal Cancer, Non-small Cell Lung Cancer, Cholangiocarcinoma, Histiocytosis, Hairy Cell Leukemia",PLX8394,INTERVENTIONAL,PHASE1,"The study objective is to evaluate the safety, pharmacokinetics (PK), and pharmacodynamics (PD) of orally administered PLX8394 in patients with advanced solid tumors. An additional objective is to identify a Recommended Phase 2 (RP2D) for further evaluation in the Extension Cohorts (Phase IIa portion).

The study objective of the Extension Cohorts (PART 2 portion) is to assess the objective tumor response and the PK, PD, and safety of PLX8394 when the RP2D is used in patients with advanced BRAF-mutated cancers.","Inclusion Criteria:

* Age ≥ 18 years
* Measurable disease by RECIST 1.1 criteria (solid tumors)
* ECOG performance status of 0-2
* Life expectancy ≥ 3 months
* Adequate hematologic, hepatic, and renal function:

  1. Solid Tumors - Absolute neutrophil count ≥ 1.5 × 109/L, Hgb \> 9 g/dL, platelet count ≥ 100 × 109/L, AST/ALT ≤ 2.5 × ULN, bilirubin ≤ 2, creatinine ≤ 1.5 × ULN or calculated CrCl \>50 mL/min (Cockcroft-Gault formula)
  2. Hairy Cell Leukemia - Absolute neutrophil count ≤ 1.0 × 109/L, Hgb ≤ 10.0 g/dL or platelet count ≤ 100 × 109/L; AST/ALT ≤ 2.5 × ULN, bilirubin ≤ 2, creatinine ≤ 1.5 × ULN or calculated CrCl \>50 mL/min (Cockcroft-Gault formula)
* Women of child-bearing potential must have a negative serum pregnancy test within 14 days of initiating study drug and must agree to use an acceptable method of birth control from the time of the negative pregnancy test up to 6 months after the last dose of study drug. Urine pregnancy testing during the study and in follow-up per country specific requirements. Fertile men must also agree to use an acceptable method of birth control while on study drug and up to 6 months after the last dose of study drug.
* Completion of previous chemotherapy, immunotherapy, or radiation therapy at least 2 weeks before study drug initiation, with resolution of all associated toxicity (to ≤ Grade 1 or Baseline)
* Willingness and ability to provide written informed consent prior to any study-related procedures and to comply with all study requirements
* Eligibility for medical insurance coverage

  1. DOSE-ESCALATION COHORTS
* advanced solid tumors that are refractory to standard therapy, have no standard therapy, or are considered by the investigator to be inappropriate for standard therapy

  2. EXTENSION COHORTS
* Cancers with a BRAF-activating mutation as assessed by a CLIA-certified method

  a. Melanoma
* unresectable Stage IIIC or Stage IV disease (sub-cohort 1a: BRAF/MEK/ERK inhibitor naïve, sub-cohort 1b: BRAF/MEK/ERK inhibitor pre-treated) b. Non-melanoma Solid Tumors
* advanced anaplastic thyroid cancer, advanced papillary thyroid cancer, and advanced solid tumors (e.g., colorectal cancer, non-small cell lung cancer, cholangiocarcinoma, etc) that are refractory to standard therapy, relapsed after standard therapy, have no standard therapy, or are considered by the investigator to be inappropriate for standard therapy c. Hairy Cell Leukemia
* histologically confirmed classical hairy cell leukemia that failed to achieve CR or PR to initial purine analog-based therapy, relapsed ≤ 2 years after purine analog-based therapy, or a history of intolerance to purine analogs

Exclusion Criteria:

* Extension Cohorts (except 1b) - Previous treatment with a selective BRAF/MEK/EKR inhibitor
* Symptomatic brain metastases. Patients with untreated brain metastasis ≤ 1 cm can be considered eligible if deemed asymptomatic by the investigator upon consultation with the medical monitor and do not require immediate radiation or steroids. Patients with brain metastasis that is treated and stable for 1 month may be considered eligible if they are asymptomatic and on stable dose of steroids or if they do not require steroids following successful local therapy.
* Investigational drug use within 28 days (or \< 5 half-lives, whichever is shorter) of the first dose of PLX8394
* Major surgical procedure, open biopsy (excluding skin cancer resection), or significant traumatic injury within 14 days of initiating study drug (unless the wound has healed) or anticipation of the need for major surgery during the study
* Uncontrolled intercurrent illness
* Active secondary malignancy unless the malignancy is not expected to interfere with the evaluation of safety and is approved by the Medical Monitor. Examples of the latter include basal or squamous cell carcinoma of the skin, in-situ carcinoma of the cervix, and isolated elevation of prostate-specific antigen. Patients with a completely treated prior malignancy and no evidence of disease for ≥ 2 years are eligible.
* Refractory nausea and vomiting, malabsorption, external biliary shunt, or significant bowel resection that would preclude adequate absorption
* Baseline mean QTcF ≥ 450 ms (males) or ≥ 470 ms (females)
* Women who are breast-feeding or pregnant
* Known chronic HIV, HCV, or HBV infection",5.0,study objective evaluate safety pharmacokinetics pk pharmacodynamics pd orally administered plx8394 patients advanced solid tumors additional objective identify recommended phase 2 rp2d evaluation extension cohorts phase iia portion study objective extension cohorts part 2 portion assess objective tumor response pk pd safety plx8394 rp2d used patients advanced brafmutated cancers
NCT05981131,Follow up of Intravesical N-803 Plus BCG in BCG-Naive Non-Muscle Invasive Bladder Cancer (NMIBC),Non Muscle Invasive Bladder Cancer,N803 plus Bacillus Calmette-Guerin (BCG),OBSERVATIONAL,,The purpose of this clinical trial is to obtain long-term follow-up information and status of bladder cancer for patients who received study treatment in the QUILT-2.005 study.,"Inclusion Criteria:

* Enrolled and treated with intravesical N-803 plus BCG in the phase 1b portion of QUILT-2.005.

Exclusion Criteria:

* Not applicable",6.0,purpose clinical trial obtain longterm followup information status bladder cancer patients received study treatment quilt2005 study
NCT00010231,Calcitriol Plus Dexamethasone in Treating Patients With Prostate Cancer That Has Not Responded to Hormone Therapy,Prostate Cancer,"calcitriol, dexamethasone",INTERVENTIONAL,PHASE1,"RATIONALE: Combining calcitriol with dexamethasone may increase the effectiveness of therapy by making cancer cells more sensitive to dexamethasone.

PURPOSE: Phase I trial to study the effectiveness of calcitriol combined with dexamethasone in treating patients who have prostate cancer that has not responded to previous hormone therapy.","DISEASE CHARACTERISTICS:

* Histologically confirmed adenocarcinoma of the prostate with progressing regional or metastatic disease despite primary hormonal therapy (bilateral orchiectomy, estrogen, or luteinizing hormone-releasing hormone (LHRH) therapy with or without simultaneous antiandrogen)
* Documented new lesions or rising PSA (at least 50% increase on 3 measurements more than 2 weeks apart) after prior antiandrogen or progestational agent, or other hormonal agent cessation

PATIENT CHARACTERISTICS:

Age:

* 18 and over

Performance status:

* ECOG 0-2

Life expectancy:

* Not specified

Hematopoietic:

* WBC greater than 3,500/mm\^3
* Absolute neutrophil count greater than 1,500/mm\^3
* Platelet count greater than 100,000/mm\^3

Hepatic:

* Bilirubin less than 2.0 mg/dL
* SGOT less than 4 times upper limit of normal

Renal:

* Creatinine no greater than 1.8 mg/dL

Other:

* No uncontrolled diabetes mellitus
* Fertile patients must use effective double barrier contraception for at least 1 week before, during, and at least 2 weeks after study participation

PRIOR CONCURRENT THERAPY:

Biologic therapy:

* Concurrent epoetin alfa for anemia allowed

Chemotherapy:

* Not specified

Endocrine therapy:

* See Disease Characteristics
* At least 28 days since prior antiandrogens or progestational agents
* Concurrent testicular androgen suppression with an LHRH analog (leuprolide or goserelin) allowed in non-orchidectomized patients

Radiotherapy:

* No concurrent radiotherapy

Surgery:

* Not specified

Other:

* No concurrent bisphosphonates",22.0,rationale combining calcitriol dexamethasone may increase effectiveness therapy making cancer cells sensitive dexamethasone purpose phase trial study effectiveness calcitriol combined dexamethasone treating patients prostate cancer responded previous hormone therapy
NCT04575831,"Exercise, Nutrition, and Palliative Care in Advanced Lung Cancer (ENPAL)",Advanced Lung Cancer,"Exercise, Nutrition, and Palliative Symptom Management",INTERVENTIONAL,,"Background: Evidence supports exercise and nutrition as beneficial for enhancing QOL in earlier stages of lung cancer; however, there is minimal research of either intervention - and none with combined interventions - in advanced lung cancer patients. In addition to a multimodal intervention approach that includes nutrition and exercise, consideration of advanced cancer care symptom management is crucial for optimizing the potential benefits of either intervention.

Objectives: Primary outcome measure of this study is feasibility, including recruitment (% who participate from those eligible), attendance (weekly group class), assessment completion, safety (adverse event reporting), attrition rates, and qualitative themes generated from one-on-one participant interviews. The secondary outcome to be measured is the impact of the intervention on PROs, including QOL, fatigue and symptom burden, as well as self-reported physical activity levels and physical function assessed in-person.

Methods: The proposed exercise intervention will include a centre-based group exercise program plus home-based exercises, and behaviour change support for advanced non-small cell lung cancer (NSCLC) patients, classified as stage III or IV with self-reported symptom burden. Eligible participants must be cleared by the health care professionals (HCP) to engage in mild to moderate levels of physical activity (PA). Using a prospective, mixed-methods design (supported by the Medical Research Council guidance for the evaluation of complex interventions), the quantitative component of this pilot study will measure feasibility and exploratory outcome measures, with an embedded qualitative component to examine participant perspectives about study tolerability/feasibility of the intervention. A subset of participants and instructors will be recruited for qualitative interviews using purposive sampling to achieve maximum variation based on factors that may lead to different viewpoints (e.g., age, gender, lung cancer type/stage, treatment).

Relevance: The proposed work will inform the design of a future pragmatic trial for this population. The goal is to build a patient-focused model of care that delivers wellness resources for advanced lung cancer care that will ultimately improve the patients' health and QOL. This approach is novel, patient-focused, and will build a tailored approach within existing resources to deliver optimal care.","Inclusion Criteria:

* Eastern Cooperative Oncology Group (ECOG) performance status of 0-2
* Hemoglobin level of ≥80g/L as measured within 30 days of enrollment
* Life expectancy \>6 months (as judged by most responsible physician)

Exclusion Criteria:

* Active infections at the time of enrollment
* Enteral tube feeding/parenteral nutrition
* Mechanical of functional bowel obstruction due to any cause
* Cognitive impairment
* Non-English speaking",10.0,background evidence supports exercise nutrition beneficial enhancing qol earlier stages lung cancer however minimal research either intervention   none combined interventions   advanced lung cancer patients addition multimodal intervention approach includes nutrition exercise consideration advanced cancer care symptom management crucial optimizing potential benefits either intervention objectives primary outcome measure study feasibility including recruitment   participate eligible attendance weekly group class assessment completion safety adverse event reporting attrition rates qualitative themes generated oneonone participant interviews secondary outcome measured impact intervention pros including qol fatigue symptom burden well selfreported physical activity levels physical function assessed inperson methods proposed exercise intervention include centrebased group exercise program plus homebased exercises behaviour change support advanced nonsmall cell lung cancer nsclc patients classified stage iii iv selfreported symptom burden eligible participants must cleared health care professionals hcp engage mild moderate levels physical activity pa using prospective mixedmethods design supported medical research council guidance evaluation complex interventions quantitative component pilot study measure feasibility exploratory outcome measures embedded qualitative component examine participant perspectives study tolerabilityfeasibility intervention subset participants instructors recruited qualitative interviews using purposive sampling achieve maximum variation based factors may lead different viewpoints eg age gender lung cancer typestage treatment relevance proposed work inform design future pragmatic trial population goal build patientfocused model care delivers wellness resources advanced lung cancer care ultimately improve patients health qol approach novel patientfocused build tailored approach within existing resources deliver optimal care
NCT04760431,TKIs vs. Pertuzumab in HER2+ Breast Cancer Patients With Active Brain Metastases (HER2BRAIN),"HER2-positive Breast Cancer, Brain Metastases","Trastuzumab, Taxanes, Pertuzumab, Tyrosine kinase inhibitor",INTERVENTIONAL,PHASE2,"This is a prospective, randomized, 2-arm, Phrase 2, superiority and multicenter study to compare the efficiency of Anti-HER2 TKI versus Pertuzumab in Combination With Dose-dense Trastuzumab and Taxane in HER2-positive breast cancer patients with active refractory brain metastases.","Inclusion Criteria:

1. Patients provided written informed consent
2. Women aged 18-75 years
3. Histologically or cytologically confirmed HER2-positive (IHC 3+ or ISH+) breast cancer
4. Patients of HER2 positive breast cancer with a documented central nervous system (CNS) recurrence/progression (by imaging) during or after Trastuzumab based therapy
5. At least one measurable and progressive lesion in the CNS (≥10 mm on T1-weighted, gadolinium-enhanced MRI)
6. Previous treatment with HER2 inhibitors to be discontinued prior to first study treatment administration (at least 14 days for trastuzumab and other antibodies, at least 7 days for lapatinib)
7. Previous chemotherapy and hormonal therapy (adjuvant and metastatic regimens) allowed, but chemotherapy must have been discontinued at least 14 days and hormonal therapy at least 7 days prior to first study treatment administration
8. Prior surgery, whole brain radiotherapy or stereotactic radiosurgery allowed provided that there is unequivocal evidence of one or more new and/or progressive brain metastases after completion of whole brain radiotherapy or stereotactic radiosurgery
9. Previous radiotherapy allowed, but radiotherapy must have been discontinued at least 14 days prior to first study treatment administration
10. Normal cardiac function
11. Patients must have recovered to baseline condition or to Common Terminology Criteria for Adverse Events (CTCAE) version 5.0 grade = 1 from any acute CTCAE v. 5.0 grade =2 side effects of previous treatments
12. Without infection of human immunodeficiency virus (HIV) on central laboratory assay results prior to randomization
13. Alanine aminotransferase (ALT) \</= 2.5 × the upper limit of normal (ULN), Aspartate aminotransferase (AST) \</= 2.5 × ULN prior to randomization
14. Total bilirubin (TBIL) \</= 1.25 × ULN
15. Alkaline phosphatase (ALK) \</= 2.5 × ULN
16. Gamma glutamyl transpeptidase (GGT) \</= 2.5 × ULN
17. Albumin \>/= 30g/L
18. Eastern Cooperative Oncology Group (ECOG) performance score of 0 to 1
19. A life expectancy of at least 1 month
20. Women of child-bearing age should take effective contraceptive measures
21. Serum total bilirubin (TBil) \</= 1.5 × ULN
22. Serum creatinine (Scr) \</= 1.5 × ULN
23. WBC \>/= 3×109/L, Blood neutrophil count \>/= 1×109/L, Platelet count \>/= 100×109/L, HB \>/= 9 g/dL

Exclusion Criteria:

1. Lack of histological or cytological confirmation of HER2-positive (IHC 3+ or ISH-positive) breast cancer
2. Cerebral hernia
3. Need radiotherapy or surgery immediately
4. Active cerebral infarction or hemorrhage
5. Only meningeal metastasis
6. Earlier exposure to doxorubicin or pirarubicin at a dosage of more than 360 mg/m2
7. Earlier exposure to epirubicin at a dosage of more than 900 mg/m2
8. Prior treatment with HER2-tyrosine kinase inhibitors
9. Treatment with trastuzumab emtansine within 6 months
10. Any other current malignancy or malignancy diagnosed within the past five years (other than carcinoma in situ or stage Ia carcinoma of the cervix, skin basal cell carcinoma and papillary thyroid carcinoma at early stage)
11. Active infection with human immunodeficiency virus (HIV) prior to first study treatment administration.
12. History of participating any other clinical trials within 30 days prior to randomization
13. Known hypersensitivity (Grade 3 or 4) to any of the trial drugs
14. Pregnancy or lactation
15. Current severe systemic disease (for example, clinically significant cardiovascular, pulmonary, or renal disease)
16. Legal incompetence or limitation.
17. Considered unable to complete the study or sign the informed consent due to a medical or mental disorder by the investigator.",120.0,prospective randomized 2arm phrase 2 superiority multicenter study compare efficiency antiher2 tki versus pertuzumab combination dosedense trastuzumab taxane her2positive breast cancer patients active refractory brain metastases
NCT02081131,Pancreatic Head and Peri-ampullary Cancer Laparoscopic vs Open Surgical Treatment Trial (PLOT),"Adenocarcinoma of Head of Pancreas, Cholangio Carcinoma, Duodenal Adenocarcinoma, Carcinoma of Ampulla of Vater","Open surgery, Laparoscopic surgery",INTERVENTIONAL,,"The aim of this study is to compare the two surgical approaches namely laparoscopic pancreatoduodenectomy and open pancreatoduodenectomy for management of periampullary and pancreatic head cancers in terms of parameters like hospital stay, pathological radicality, complication rate, peri-operative and post operative outcomes.","Inclusion Criteria:

* Adult males or females with a diagnosis of either of resectable Periampullary and pancreatic head cancers with

  1. No evidence of metastasis
  2. Radiological non-involvement of Superior Mesenteric Vein \& Portal Vein
  3. Preserved fat planes between celiac axis, Hepatic Artery \& Superior Mesenteric Artery

Exclusion Criteria:

1. Unresectable Tumor at surgery
2. Pancreatoduodenectomy for other diagnosis like cystic tumors or chronic calcific pancreatitis with head mass
3. With prior Neoadjuvant treatment",64.0,aim study compare two surgical approaches namely laparoscopic pancreatoduodenectomy open pancreatoduodenectomy management periampullary pancreatic head cancers terms parameters like hospital stay pathological radicality complication rate perioperative post operative outcomes
NCT04150731,16α-18F-fluor-17β-estradiol PET/CT for Visualisation of Estrogen Receptor Positive Liver Metastases From Breast Cancer,Breast Cancer,16α-18F-fluor-17β-estradiol,INTERVENTIONAL,"PHASE1, PHASE2","Breast cancer (BC) is the most common cancer diagnosis among women and the incidence is increasing. Prognosis and treatment are dependent on the expression of estrogen receptors (ER) in the tumor. ER status is determined by immunohistochemistry (IHC) on biopsy tissue. The ER expression can change over time and be heterogeneous.

The IHC score on ER expression is subjective and can lead to intra and inter observer variability. A new computer image analysis software that can give the exact percentage of colored tumor cells on sectional tumor cuts has been developed.

It is also possible to quantify the ER expression non invasive by using the tracer 16α-18F-flour-17β-estradiol (FES) and in vivo positron emission tomography (PET) scans. FES-PET/CT has a high background activity in the liver which complicates the visualization of liver metastases. Theoretically, a new whole body parametric scan method makes it possible to distinguish background activity from uptake in liver metastases.

Malignant tumors often have an increased perfusion, and previous studies have found that tumors with low metabolism relative to blood flow have the longest disease free survival (DFS). To the best of our knowledge, no previous studies have examined the correlation between ER expression and blood flow.","Inclusion Criteria:

* Patients with known disseminated breast cancer
* Metastatic ER+ HER2- breast cancer with metastases in the liver, at least two separate liver foci visualised on CT
* Diagnostic CT scan done in connection with clinical control
* Treatment with aromatase inhibitors, and potential additional treatment
* Postmenopausal

Exclusion Criteria:

* Treatment with Tamoxifen or Fulvestrant completed within 5 weeks prior to FES-PET/CT
* ER- metastases
* Life expectancy under three months
* Claustrophobia
* Any pain which makes it impossible to lie in the scanner for 90 minutes",8.0,breast cancer bc common cancer diagnosis among women incidence increasing prognosis treatment dependent expression estrogen receptors er tumor er status determined immunohistochemistry ihc biopsy tissue er expression change time heterogeneous ihc score er expression subjective lead intra inter observer variability new computer image analysis software give exact percentage colored tumor cells sectional tumor cuts developed also possible quantify er expression non invasive using tracer 16α18fflour17βestradiol fes vivo positron emission tomography pet scans fespetct high background activity liver complicates visualization liver metastases theoretically new whole body parametric scan method makes possible distinguish background activity uptake liver metastases malignant tumors often increased perfusion previous studies found tumors low metabolism relative blood flow longest disease free survival dfs best knowledge previous studies examined correlation er expression blood flow
NCT04315831,Safety and Effectiveness of Transdermal Buprenorphine in Cancer Pain,Cancer,Transdermal Buprenorphine,OBSERVATIONAL,,"Buprenorphine transdermal patch is newly available in Taiwan in June 2017, the trade name is Transtec, and the available dosages are 35 μg/h and 52.5 μg/h. Taiwan is the first Asia country which launched Transtec for cancer pain treatment. Although the efficacy of transdermal buprenorphine has been demonstrated in some randomized, placebo-controlled studies and also conducted a large scale post-marketing surveillance study in Germany, therefore the local scientific data is required for Asia experience. Due to above rationale, this observational study will be initiated in Taiwan, to build up the first real-world scientific data in Asia.

The objective of this study is to collect the safety and effectiveness of transdermal buprenorphine in routine clinical practice, in particular, to collect data in population with controlled cancer pain and stable titration from previous opioid analgesics in Taiwan.","Inclusion Criteria:

1. Cancer patients aged 20 years old and over
2. ECOG \<3
3. Moderate or severe pain intensity with stable titration from previous opioid analgesics, 7 days at least prior to enrolment and with the dose equivalent to oral morphine ranging from 60 to 120 mg/day in previous treatment
4. Cancer-related pain that requires treatment with continuous around-the-clock strong opioid analgesic
5. Patients who are going to start Transtec treatment per clinical judgment, according to the locally approved labeling, are eligible.
6. Patients who are able to communicate and fill out the questionnaire forms
7. Patient provided signed informed consent

Exclusion Criteria:

1. Patients diagnosed with non-cancer pain or unexplained pain
2. Patients who have constipation (CTCAE grade 3 and above)
3. Patients with uncontrolled or unstable cardiac disease
4. Abnormal lab results, with obvious clinical significance, such as ALT or AST\>= 3 fold of upper limit of normal value or liver function of Child C grade prior to study
5. ALT or AST \>= 5 fold of upper limit of normal value for patients with liver metastasis or primary liver cancer
6. Pregnant or nursing (lactating) women
7. Patients who are drug or alcohol abuse
8. Patients who have hypersensitivity to buprenorphine
9. Patients who are clinically unstable or have a life expectancy of less than 8 weeks making completion of the trial unlikely
10. With any contraindications or using prohibited medication per locally approved",83.0,buprenorphine transdermal patch newly available taiwan june 2017 trade name transtec available dosages 35 μgh 525 μgh taiwan first asia country launched transtec cancer pain treatment although efficacy transdermal buprenorphine demonstrated randomized placebocontrolled studies also conducted large scale postmarketing surveillance study germany therefore local scientific data required asia experience due rationale observational study initiated taiwan build first realworld scientific data asia objective study collect safety effectiveness transdermal buprenorphine routine clinical practice particular collect data population controlled cancer pain stable titration previous opioid analgesics taiwan
